cdate,cp,pctlead,slope6,slope7
1950-01-03,16.6600,1.1405,,
1950-01-04,16.8500,0.4748,,
1950-01-05,16.9300,0.2953,,
1950-01-06,16.9800,0.5889,,
1950-01-09,17.0800,-0.2927,,
1950-01-10,17.0300,0.3523,,
1950-01-11,17.0900,-1.9310,0.4217,
1950-01-12,16.7600,-0.5370,-0.0883,0.0842
1950-01-13,16.6700,0.2999,-0.2559,-0.1518
1950-01-16,16.7200,0.8373,-0.2565,-0.1775
1950-01-17,16.8600,-0.0593,-0.2175,-0.1015
1950-01-18,16.8500,0.1187,-0.1783,-0.1949
1950-01-19,16.8700,0.1778,-0.2184,-0.1358
1950-01-20,16.9000,0.1183,0.1388,-0.1615
1950-01-23,16.9200,-0.3546,0.2472,0.1358
1950-01-24,16.8600,-0.7117,0.1383,0.1610
1950-01-25,16.7400,-0.0597,-0.1186,0.0169
1950-01-26,16.7300,0.5380,-0.1188,-0.1103
1950-01-27,16.8200,1.1891,-0.0495,-0.0255
1950-01-30,17.0200,0.1763,0.1187,0.1271
1950-01-31,17.0500,0.0000,0.1284,0.1270
1950-02-01,17.0500,1.0557,0.1874,0.1099
1950-02-02,17.2300,0.3482,0.4809,0.3119
1950-02-03,17.2900,0.1735,0.5466,0.4614
1950-02-06,17.3200,-0.5196,0.4856,0.4926
1950-02-07,17.2300,-0.1161,0.2035,0.3411
1950-02-08,17.2100,0.4068,0.1548,0.1578
1950-02-09,17.2800,-0.2315,0.2221,0.1907
1950-02-10,17.2400,-1.0441,0.0097,0.1573
1950-02-14,17.0600,0.0000,-0.2226,-0.1409
1950-02-15,17.0600,-0.4103,-0.2522,-0.1910
1950-02-16,16.9900,0.9417,-0.2334,-0.2748
1950-02-17,17.1500,0.2916,-0.0584,-0.0667
1950-02-20,17.2000,-0.1744,-0.0779,-0.0083
1950-02-21,17.1700,0.2330,-0.0682,-0.0918
1950-02-23,17.2100,0.4068,0.1459,-0.0250
1950-02-24,17.2800,0.0000,0.2136,0.1832
1950-02-27,17.2800,-0.3472,0.2808,0.1829
1950-02-28,17.2200,0.1161,0.0677,0.1909
1950-03-01,17.2400,-0.0580,0.0387,0.0746
1950-03-02,17.2300,0.3482,0.0580,0.0249
1950-03-03,17.2900,0.1735,0.0773,0.0994
1950-03-06,17.3200,-0.6928,0.0386,0.0910
1950-03-07,17.2000,-0.0581,-0.0773,-0.0662
1950-03-08,17.1900,-0.6981,-0.0290,-0.0746
1950-03-09,17.0700,0.1172,-0.1646,-0.1244
1950-03-10,17.0900,0.1755,-0.1357,-0.1246
1950-03-13,17.1200,0.7593,-0.1651,-0.0915
1950-03-14,17.2500,1.1594,-0.0680,-0.0333
1950-03-15,17.4500,0.2292,0.2423,0.1080
1950-03-16,17.4900,-0.2287,0.2899,0.2403
1950-03-17,17.4500,-0.0573,0.3659,0.2150
1950-03-20,17.4400,0.0573,0.3359,0.3051
1950-03-21,17.4500,0.5731,0.3157,0.2959
1950-03-22,17.5500,0.0570,0.2862,0.3522
1950-03-23,17.5600,0.0000,0.1048,0.2533
1950-03-24,17.5600,-0.5695,0.0667,0.0898
1950-03-27,17.4600,0.4009,0.0095,-0.0245
1950-03-28,17.5300,-0.5134,0.0856,0.0653
